Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
101000000	GBPUSD	buy	0.5	2025.02.23 05:11:46	1.41452	2025.02.23 06:40:46	1.41464	1.41152	1.41852	-12.0	-7.1	5854.0	Breakout
101000001	AUDUSD	buy	0.3	2024.03.24 11:46:46	1.11288	2024.03.24 16:44:46	1.11273	1.10988	1.11688	-12.0	6.4	-4676.0	Pullback
101000002	USDJPY	sell	2.0	2024.08.26 07:14:46	105.21	2024.08.26 09:02:46	105.231	105.213	105.206	0.0	3.4	-4282.0	Reversal
101000003	USDJPY	buy	0.3	2025.05.17 11:13:46	122.597	2025.05.17 13:24:46	122.717	122.594	122.601	0.0	-7.5	3603.0	Trend
101000004	GBPJPY	buy	1.0	2023.12.25 12:35:46	115.874	2023.12.25 15:57:46	115.929	115.871	115.878	-12.0	0.6	5475.0	Range
101000005	USDJPY	buy	0.3	2023.11.27 17:05:46	135.259	2023.11.27 20:20:46	134.994	135.256	135.263	-12.0	6.8	-7966.0	Scalp
101000006	AUDUSD	sell	0.3	2024.03.10 06:29:46	1.27475	2024.03.10 11:05:46	1.27449	1.27775	1.27075	-12.0	-2.3	7844.0	Breakout
101000007	USDJPY	buy	0.3	2023.09.02 18:35:46	147.417	2023.09.02 22:16:46	147.664	147.414	147.421	-12.0	1.2	7393.0	Pullback
101000008	GBPJPY	buy	0.3	2022.10.24 22:52:46	154.859	2022.10.25 00:30:46	154.696	154.856	154.863	0.0	-9.1	-4887.0	Reversal
101000009	USDJPY	sell	0.3	2023.02.13 09:03:46	121.916	2023.02.13 11:42:46	121.787	121.919	121.912	0.0	1.9	3869.0	Trend
101000010	USDJPY	sell	1.0	2024.01.31 07:34:46	141.618	2024.01.31 10:46:46	141.527	141.621	141.614	0.0	1.1	9166.0	Range
101000011	AUDUSD	sell	1.0	2023.10.25 03:09:46	1.33975	2023.10.25 04:43:46	1.33977	1.34275	1.33575	0.0	4.2	-2043.0	Scalp
101000012	GBPJPY	buy	0.5	2023.10.09 22:00:46	148.103	2023.10.09 22:37:46	148.192	148.1	148.107	-12.0	-9.9	4457.0	Breakout
101000013	EURUSD	buy	2.0	2023.11.21 14:28:46	1.4322	2023.11.21 15:05:46	1.43222	1.4292	1.4362	0.0	-7.4	5023.0	Pullback
101000014	GBPUSD	buy	1.0	2024.04.18 22:42:46	1.24457	2024.04.19 02:46:46	1.24463	1.24157	1.24857	0.0	-2.0	6570.0	Reversal
