Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment
102000000	BTCUSD	sell	0.1	2024.06.01 22:53:10	44654.52449	2024.06.01 10:54:05	411272.13273	45547.61498	43314.88875	-12	0	-36662	Pullback
102000001	BTCUSD	buy	0.1	2024.06.01 11:58:47	42759.94288	2024.06.01 18:29:22	291587.75014	41904.74402	44042.74116	-12	0	24883	Range
102000002	BTCUSD	buy	0.0	2024.06.01 22:08:53	43834.45865	2024.06.02 21:01:52	44272.80324	42957.76948	45149.49241	-12	0	0	Reversal
101000001	EURJPY	sell	2.4	2024.06.03 11:59:06	167.204	2024.06.03 18:35:48	167.102	170.548	162.187	-12	0	24307	Breakout
101000002	GBPJPY	buy	1.8	2024.06.04 05:27:28	199.981	2024.06.04 15:24:45	199.799	195.981	205.980	-12	0	-32689	Pullback
101000003	EURUSD	buy	2.4	2024.06.05 09:00:41	1.10555	2024.06.05 16:31:49	1.09171	1.08344	1.13872	-12	0	-33220	Pullback
101000004	USDJPY	buy	1.8	2024.06.06 07:44:39	153.910	2024.06.06 19:07:09	154.015	150.832	158.527	-12	0	18878	Reversal
101000005	EURUSD	buy	2.5	2024.06.06 23:19:06	1.10912	2024.06.07 11:15:16	1.09947	1.08694	1.14240	-12	0	-24138	Range
102000003	ETHUSD	sell	0.1	2024.06.08 02:44:08	2134.74009	2024.06.08 15:37:11	2113.39269	2177.43489	2070.69789	-12	0	2	Reversal
102000004	ETHUSD	buy	0.1	2024.06.08 22:28:11	2325.02847	2024.06.09 16:54:34	2348.27875	2278.52790	2394.77932	-12	0	2	Reversal
101000006	GBPUSD	buy	1.1	2024.06.10 02:37:39	1.27760	2024.06.10 10:57:50	1.24389	1.25205	1.31593	-12	0	-37084	Range
101000007	GBPJPY	buy	0.7	2024.06.11 06:20:54	192.834	2024.06.11 17:43:04	192.346	188.977	198.619	-12	0	-34174	Breakout
101000008	USDJPY	sell	1.9	2024.06.12 08:05:52	150.100	2024.06.12 14:41:13	149.995	153.102	145.597	-12	0	19930	Pullback
101000009	EURJPY	buy	0.7	2024.06.13 13:20:12	161.719	2024.06.13 16:42:21	161.204	158.485	166.571	-12	0	-36081	Pullback
101000010	GBPJPY	buy	1.6	2024.06.14 05:09:34	195.920	2024.06.14 10:35:28	196.088	192.002	201.798	-12	0	26859	Reversal
102000005	BTCUSD	sell	0.1	2024.06.15 11:55:55	43979.01165	2024.06.15 17:22:06	313457.03822	44858.59188	42659.64130	-12	0	-26948	Breakout
102000006	BTCUSD	sell	0.1	2024.06.15 13:51:06	44425.55850	2024.06.15 19:40:21	43981.30292	45314.06967	43092.79175	-12	0	44	Range
102000007	BTCUSD	sell	0.0	2024.06.15 05:05:28	45726.50829	2024.06.16 15:15:22	3603683.88740	46641.03846	44354.71304	-12	0	0	Reversal
101000011	AUDUSD	sell	2.9	2024.06.17 02:33:13	0.66486	2024.06.17 10:01:18	0.65522	0.67815	0.64491	-12	0	27939	Pullback
101000012	GBPJPY	sell	1.0	2024.06.18 06:53:42	190.375	2024.06.18 12:42:15	190.067	194.183	184.664	-12	0	30809	Trend
101000013	AUDUSD	buy	2.7	2024.06.19 07:20:22	0.68831	2024.06.19 09:18:54	0.67916	0.67454	0.70896	-12	0	-24703	Pullback
101000014	AUDUSD	buy	1.3	2024.06.20 16:52:03	0.66054	2024.06.20 18:51:41	0.63697	0.64733	0.68036	-12	0	-30641	Trend
101000015	USDJPY	sell	1.8	2024.06.21 16:08:44	152.084	2024.06.21 19:48:54	152.262	155.126	147.521	-12	0	-32061	Range
101000016	AUDUSD	sell	0.7	2024.06.24 01:54:00	0.67896	2024.06.24 10:00:41	0.72385	0.69253	0.65859	-12	0	-31424	Pullback
101000017	GBPJPY	buy	0.6	2024.06.25 08:16:52	197.751	2024.06.25 11:59:33	198.168	193.796	203.684	-12	0	25006	Breakout
101000018	GBPUSD	sell	2.6	2024.06.26 04:42:49	1.31801	2024.06.26 10:51:11	1.33042	1.34437	1.27847	-12	0	-32267	Pullback
101000019	EURUSD	buy	0.9	2024.06.27 15:32:48	1.06183	2024.06.27 21:55:56	1.02826	1.04059	1.09368	-12	0	-30207	Trend
101000020	EURJPY	buy	0.7	2024.06.28 13:50:07	169.254	2024.06.28 19:21:17	169.584	165.869	174.332	-12	0	23108	Range
101000021	EURUSD	sell	0.7	2024.07.01 11:08:34	1.12765	2024.07.01 17:11:34	1.09459	1.15020	1.09382	-12	0	23138	Reversal
101000022	EURJPY	buy	1.7	2024.07.02 16:39:23	167.025	2024.07.02 21:18:15	166.885	163.684	172.035	-12	0	-23807	Breakout
101000023	GBPJPY	buy	2.2	2024.07.03 04:34:04	192.296	2024.07.03 10:45:37	192.434	188.450	198.065	-12	0	30526	Reversal
101000024	GBPJPY	buy	0.7	2024.07.04 11:15:13	191.160	2024.07.04 14:42:23	190.715	187.337	196.895	-12	0	-31183	Reversal
101000025	GBPUSD	sell	1.0	2024.07.05 08:56:58	1.27760	2024.07.05 19:00:14	1.25461	1.30315	1.23927	-12	0	22989	Trend
101000026	AUDUSD	buy	0.5	2024.07.08 16:10:10	0.65389	2024.07.08 20:31:04	0.60273	0.64082	0.67351	-12	0	-25582	Reversal
101000027	USDJPY	sell	2.5	2024.07.09 16:28:28	151.734	2024.07.09 17:35:18	151.624	154.769	147.182	-12	0	27361	Breakout
101000028	GBPUSD	sell	1.4	2024.07.10 05:34:34	1.25849	2024.07.10 10:19:32	1.28153	1.28365	1.22073	-12	0	-32265	Trend
101000029	EURJPY	buy	2.3	2024.07.11 06:42:02	164.901	2024.07.11 14:03:49	164.995	161.603	169.848	-12	0	21538	Breakout
101000030	EURJPY	buy	2.5	2024.07.12 09:06:45	159.590	2024.07.12 21:26:17	159.692	156.398	164.377	-12	0	25566	Trend
101000031	USDJPY	sell	1.7	2024.07.15 08:14:29	154.288	2024.07.15 18:07:20	154.469	157.374	149.659	-12	0	-30821	Reversal
101000032	AUDUSD	buy	1.4	2024.07.16 05:47:55	0.69245	2024.07.16 12:53:27	0.66831	0.67860	0.71322	-12	0	-33795	Reversal
101000033	GBPUSD	sell	2.4	2024.07.17 17:27:47	1.29586	2024.07.17 21:52:26	1.28304	1.32178	1.25699	-12	0	30779	Trend
101000034	USDJPY	buy	1.7	2024.07.18 13:44:49	147.543	2024.07.18 14:29:17	147.351	144.592	151.969	-12	0	-32559	Breakout
101000035	GBPJPY	buy	2.5	2024.07.19 16:05:34	198.326	2024.07.19 21:42:01	198.201	194.360	204.276	-12	0	-31408	Pullback
101000036	EURUSD	buy	1.3	2024.07.22 09:58:57	1.10213	2024.07.22 18:26:28	1.08181	1.08009	1.13519	-12	0	-26419	Range
101000037	AUDUSD	buy	2.6	2024.07.23 07:08:39	0.66559	2024.07.23 16:02:47	0.65365	0.65228	0.68556	-12	0	-31044	Breakout
101000038	GBPJPY	buy	3.0	2024.07.24 10:26:21	197.038	2024.07.24 13:12:20	196.928	193.098	202.950	-12	0	-33194	Reversal
101000039	EURJPY	buy	2.3	2024.07.25 14:42:05	169.529	2024.07.25 18:13:17	169.650	166.139	174.615	-12	0	27862	Reversal
101000040	EURJPY	sell	2.0	2024.07.26 04:18:55	160.736	2024.07.26 09:51:04	160.916	163.951	155.914	-12	0	-35996	Trend
101000041	GBPJPY	sell	1.3	2024.07.29 14:21:28	193.233	2024.07.29 21:42:20	193.001	197.097	187.436	-12	0	30114	Breakout
101000042	USDJPY	sell	2.1	2024.07.30 17:33:53	154.364	2024.07.30 21:10:11	154.261	157.452	149.734	-12	0	21726	Trend
101000043	GBPUSD	sell	1.5	2024.07.31 00:45:07	1.31521	2024.07.31 08:22:00	1.33968	1.34152	1.27576	-12	0	-36704	Pullback
101000044	GBPJPY	sell	1.5	2024.08.01 11:56:05	191.604	2024.08.01 17:49:51	191.475	195.436	185.856	-12	0	19366	Pullback
101000045	AUDUSD	buy	1.0	2024.08.02 09:40:54	0.66486	2024.08.02 15:05:10	0.69513	0.65156	0.68481	-12	0	30268	Range
101000046	GBPUSD	sell	2.2	2024.08.05 05:01:23	1.33024	2024.08.05 16:47:13	1.34311	1.35685	1.29034	-12	0	-28302	Trend
101000047	EURJPY	sell	2.2	2024.08.06 11:43:36	169.571	2024.08.06 19:05:15	169.447	172.962	164.483	-12	0	27281	Range
101000048	AUDUSD	buy	2.8	2024.08.07 01:16:53	0.66639	2024.08.07 13:32:51	0.67480	0.65306	0.68638	-12	0	23546	Reversal
101000049	EURUSD	buy	1.3	2024.08.08 11:56:34	1.15350	2024.08.08 13:59:28	1.17033	1.13043	1.18810	-12	0	21878	Breakout
101000050	EURUSD	buy	1.8	2024.08.08 21:25:39	1.14310	2024.08.09 09:54:00	1.15871	1.12023	1.17739	-12	0	28109	Pullback
101000051	AUDUSD	buy	2.3	2024.08.12 11:06:04	0.67879	2024.08.12 15:40:09	0.66702	0.66521	0.69915	-12	0	-27068	Breakout
101000052	EURUSD	sell	2.3	2024.08.13 05:36:58	1.13249	2024.08.13 12:03:36	1.12195	1.15514	1.09851	-12	0	24223	Trend
101000053	EURJPY	sell	2.7	2024.08.14 13:43:14	161.902	2024.08.14 15:48:37	161.820	165.140	157.045	-12	0	22198	Trend
101000054	GBPUSD	buy	2.9	2024.08.15 21:15:52	1.31770	2024.08.15 21:55:25	1.32662	1.29134	1.35723	-12	0	25880	Reversal
101000055	AUDUSD	sell	1.0	2024.08.16 09:21:24	0.67879	2024.08.16 19:01:01	0.71537	0.69236	0.65842	-12	0	-36579	Range
