Ticket	Item	Type	Size	Open Time	Open Price	Close Time	Close Price	S/L	T/P	Commission	Swap	Profit	Comment	XM Points
103000001	GBPJPY	buy	0.9	2025.01.01 08:00:00	197.405	2025.01.01 13:36:00	197.536	197.268	197.706	-12	1.4	11824	Range	13
103000002	EURUSD	buy	0.8	2025.01.03 11:12:54	1.07925	2025.01.03 14:06:54	1.08042	1.07783	1.08365	-12	-0.3	94	Pullback	10
103000003	EURUSD	buy	2.5	2025.01.06 16:03:36	1.05634	2025.01.06 17:57:36	1.05901	1.05476	1.0621	-12	0.2	670	Range	47
103000004	EURJPY	buy	0.9	2025.01.08 05:02:23	161.255	2025.01.08 06:16:23	161.2	161.099	161.678	-12	-0.3	-4979	Pullback	14
103000005	USDJPY	sell	1.6	2025.01.10 13:38:47	150.08	2025.01.10 20:22:47	150.265	150.303	149.442	-12	-0.2	-29533	Pullback	21
103000006	EURJPY	buy	1	2025.01.13 04:25:25	162.192	2025.01.13 05:35:25	161.867	162.084	162.745	-12	0.1	-32503	Range	16
103000007	EURJPY	buy	2.8	2025.01.14 08:13:48	161.671	2025.01.14 11:50:48	161.393	161.481	162.059	-12	0.7	-77763	Trend	41
103000008	GBPUSD	buy	1.7	2025.01.15 23:22:14	1.29796	2025.01.16 03:16:14	1.29596	1.29539	1.30264	-12	0.5	-340	Reversal	20
103000009	AUDUSD	buy	1.7	2025.01.20 11:06:42	0.65975	2025.01.20 13:21:42	0.66109	0.65696	0.66409	-12	0.8	227	Pullback	17
103000010	USDJPY	buy	1.1	2025.01.23 05:44:00	149.454	2025.01.23 07:05:00	149.357	149.266	149.67	-12	1.4	-10724	Reversal	17
103000011	USDJPY	buy	1.9	2025.01.27 17:28:10	149.361	2025.01.27 22:06:10	149.241	149.136	149.715	-12	0	-22715	Breakout	33
103000012	USDJPY	sell	1.9	2025.01.29 17:02:49	149.545	2025.01.29 23:45:49	149.232	149.804	149.133	-12	0	59344	Range	21
103000013	EURJPY	buy	1	2025.01.31 03:27:26	164.341	2025.01.31 04:58:26	164.18	164.074	164.549	-12	1.4	-16011	Reversal	16
